feedback_text,sentiment
The timely rain and improved seeds gave us a great harvest #101,Positive
The solar-powered pumps are very efficient #316,Positive
Loan disbursement is delayed every season #24,Negative
All tools and machines are working as expected #747,Neutral
We had no pest issues this time thanks to early intervention #768,Positive
Fodder for livestock is not available this year #345,Negative
Our soil health has improved thanks to expert advice #262,Positive
We didn’t receive the fertilizer on time #452,Negative
The crops are growing at a normal pace #835,Neutral
Crop diversity is giving us more market options #196,Positive
Storage facilities are in very poor condition #776,Negative
Everything appears to be under control for now #842,Neutral
We are unable to access good quality seeds #736,Negative
The new loan program was processed efficiently #180,Positive
The fertilizer shop is functioning normally #923,Neutral
Rainfall was consistent and well-timed #341,Positive
We’re facing huge losses this season again #100,Negative
We are facing labor shortages during peak season #544,Negative
The organic fair gave us great exposure #749,Positive
We are observing the growth phase of our crops #756,Neutral
The government scheme really benefited our village #663,Positive
Government officials were responsive and helpful #481,Positive
There is routine inspection happening this week #139,Neutral
Weather conditions have been perfect for sowing #872,Positive
There was no proper guidance from the agriculture department #454,Negative
Weather has been neither too dry nor too wet so far #953,Neutral
Our field demos were well received by other farmers #550,Positive
The water supply is consistent but not excessive #21,Neutral
Most farmers are preparing for the next sowing season #709,Neutral
Access to expert advice has made a big difference #743,Positive
The loan paperwork is under process #416,Neutral
Irrigation has been functioning as expected #638,Neutral
Livestock health has remained stable #567,Neutral
No significant change in government policies #293,Neutral
We’re unable to sell our produce at a fair price #910,Negative
Rainfall was consistent and well-timed #791,Positive
The water supply is consistent but not excessive #121,Neutral
The crop loan interest rates are too high #447,Negative
The early sowing advice helped avoid pests #248,Positive
The new loan program was processed efficiently #830,Positive
Our crops were destroyed by wild animals #125,Negative
The water supply is consistent but not excessive #721,Neutral
We are finally seeing the benefits of switching to organic #627,Positive
The early sowing advice helped avoid pests #348,Positive
Our sugarcane output is at an all-time high #279,Positive
Subsidies are not being credited as promised #784,Negative
We are using last year’s strategies for this crop #281,Neutral
The local market prices are favorable this time #656,Positive
Transport issues led to rotting of fresh produce #214,Negative
The mobile alerts are useful for daily farming tips #839,Positive
No special announcements from the authorities #625,Neutral
There is routine inspection happening this week #589,Neutral
We planted the crops last week as per schedule #351,Neutral
We’re unable to sell our produce at a fair price #710,Negative
The market has usual crowd this season #24,Neutral
We are finally seeing the benefits of switching to organic #977,Positive
Crop diversity is giving us more market options #446,Positive
We had no pest issues this time thanks to early intervention #618,Positive
Our crops were destroyed by wild animals #475,Negative
Government schemes are not reaching us on time #779,Negative
No major incidents have been reported this season #518,Neutral
Fodder for livestock is not available this year #245,Negative
There are no major updates from the cooperative #996,Neutral
Weather has been neither too dry nor too wet so far #553,Neutral
The early sowing advice helped avoid pests #548,Positive
The storage is being used moderately this season #211,Neutral
Loan disbursement is delayed every season #624,Negative
I'm satisfied with the quality of seeds provided #264,Positive
We had to sell our produce at throwaway prices #398,Negative
There is an ongoing discussion about crop rotation #354,Neutral
Fertilizer prices have increased drastically #816,Negative
Our crop yield has significantly increased this year #354,Positive
Storage facilities are in very poor condition #76,Negative
The weather updates helped us avoid major damage #209,Positive
I'm satisfied with the quality of seeds provided #614,Positive
We are using the same resources as last year #91,Neutral
There are no current issues in the supply chain #100,Neutral
"Government promised help, but nothing arrived #499",Negative
We are unable to access good quality seeds #136,Negative
We are using last year’s strategies for this crop #881,Neutral
There is average participation in training events #79,Neutral
The support from the agriculture department was very helpful #58,Positive
There is steady demand in the local market #484,Neutral
Our soil health has improved thanks to expert advice #812,Positive
There are no major updates from the cooperative #196,Neutral
Our soil health has improved thanks to expert advice #562,Positive
We’re maintaining our usual schedule for sowing #944,Neutral
The new loan program was processed efficiently #230,Positive
We completed the harvesting process last week #510,Neutral
We didn't receive any training this year #722,Negative
The soil seems to be holding moisture well #180,Neutral
The drought has severely affected our crop yield #451,Negative
The irrigation canal has been dry for months #235,Negative
We didn't receive any training this year #72,Negative
There are no current issues in the supply chain #850,Neutral
Unseasonal rains have caused major crop losses #38,Negative
Our farm-to-market transport has improved greatly #890,Positive
There was no proper guidance from the agriculture department #54,Negative
The support from the agriculture department was very helpful #708,Positive
The farm produce was sold out quickly this week #425,Positive
Our storage facility upgrade saved a lot of produce #70,Positive
There are no current issues in the supply chain #250,Neutral
We are cautiously optimistic about the outcome #536,Neutral
The farm produce looks standard this season #840,Neutral
The fields have been plowed and are ready for sowing #407,Neutral
We’re waiting for the market rates to stabilize #964,Neutral
Farming operations are progressing steadily #582,Neutral
No significant change in government policies #93,Neutral
Rainfall was consistent and well-timed #941,Positive
I'm confident we'll have a great season ahead #621,Positive
We are using traditional farming methods this time #520,Neutral
The crop loan interest rates are too high #197,Negative
No major incidents have been reported this season #68,Neutral
The pest outbreak this season was uncontrollable #33,Negative
Heavy rains washed away the seeds after sowing #506,Negative
We are losing hope due to consistent crop failure #577,Negative
We are using last year’s strategies for this crop #131,Neutral
Meetings are being held as usual #45,Neutral
Our complaints on the portal go unanswered #396,Negative
The new loan program was processed efficiently #280,Positive
Fertilizer prices have increased drastically #466,Negative
There was no proper guidance from the agriculture department #504,Negative
Nothing unusual about the climate this month #283,Neutral
There is routine inspection happening this week #839,Neutral
The market has usual crowd this season #724,Neutral
Our crop yield has significantly increased this year #554,Positive
We’ve had a bumper harvest of rice this season #835,Positive
The government scheme really benefited our village #963,Positive
Our training on composting was very effective #597,Positive
The seeds were distributed in the village yesterday #452,Neutral
The new irrigation system is saving us a lot of water #803,Positive
We haven't faced any new challenges so far #137,Neutral
We are cautiously optimistic about the outcome #986,Neutral
We are using traditional farming methods this time #720,Neutral
Rainfall was consistent and well-timed #441,Positive
The weather updates helped us avoid major damage #509,Positive
We are finally seeing the benefits of switching to organic #77,Positive
Farming operations are progressing steadily #482,Neutral
Our field demos were well received by other farmers #650,Positive
The scheme implementation was smooth and timely #523,Positive
Unseasonal rains have caused major crop losses #488,Negative
Most farmers are preparing for the next sowing season #209,Neutral
Fodder for livestock is not available this year #495,Negative
The awareness program helped us use pesticides more effectively #655,Positive
Livestock health has remained stable #817,Neutral
We don't have access to reliable weather updates #539,Negative
Loan disbursement is delayed every season #424,Negative
We didn’t receive the fertilizer on time #652,Negative
Government officials were responsive and helpful #631,Positive
Everything appears to be under control for now #542,Neutral
The new seeds failed to germinate properly #508,Negative
Everything appears to be under control for now #942,Neutral
The online portal made seed ordering very easy #483,Positive
Local vendors are exploiting us by offering low prices #928,Negative
Transport issues led to rotting of fresh produce #114,Negative
We’re waiting for the market rates to stabilize #564,Neutral
We don't have access to reliable weather updates #89,Negative
The mobile alerts are useful for daily farming tips #439,Positive
Our requests to the local officer went unheard #718,Negative
We’re maintaining our usual schedule for sowing #444,Neutral
I'm happy with how the new organic methods are working #857,Positive
Subsidies are not being credited as promised #984,Negative
I'm grateful for the timely distribution of subsidies #167,Positive
We are seeing better profits than last season #60,Positive
Our soil health has improved thanks to expert advice #612,Positive
Government officials were responsive and helpful #531,Positive
Irrigation has been functioning as expected #788,Neutral
Our field demos were well received by other farmers #50,Positive
Subsidies are not being credited as promised #884,Negative
Crop insurance hasn't been processed yet #12,Negative
The weather updates helped us avoid major damage #859,Positive
Our requests to the local officer went unheard #18,Negative
The organic fair gave us great exposure #49,Positive
Our storage facility upgrade saved a lot of produce #720,Positive
We are using the same resources as last year #391,Neutral
Weather has been neither too dry nor too wet so far #653,Neutral
All tools and machines are working as expected #247,Neutral
We’re unable to sell our produce at a fair price #160,Negative
The online portal made seed ordering very easy #633,Positive
We don't have access to reliable weather updates #339,Negative
We haven't made any changes in farming technique #128,Neutral
Weather has been neither too dry nor too wet so far #603,Neutral
There are no proper roads to transport our produce #437,Negative
The drip irrigation system is working really well #26,Positive
The loan paperwork is under process #966,Neutral
Our storage facility upgrade saved a lot of produce #220,Positive
The pest situation is currently under observation #819,Neutral
We are finally seeing the benefits of switching to organic #277,Positive
Local authorities visited the farm to inspect progress #158,Neutral
We’re burdened by increasing input costs #481,Negative
We are unable to access good quality seeds #236,Negative
We are facing labor shortages during peak season #594,Negative
Our field demos were well received by other farmers #1000,Positive
We are using the same resources as last year #141,Neutral
Our soil health has improved thanks to expert advice #362,Positive
The new seeds failed to germinate properly #458,Negative
We are facing labor shortages during peak season #994,Negative
We didn't receive any training this year #672,Negative
The crops are growing at a normal pace #335,Neutral
The drought has severely affected our crop yield #651,Negative
We are unable to access good quality seeds #836,Negative
We are facing water scarcity in our village #115,Negative
The crop loan interest rates are too high #847,Negative
Our requests to the local officer went unheard #318,Negative
The soil seems to be holding moisture well #630,Neutral
The early sowing advice helped avoid pests #298,Positive
Transport issues led to rotting of fresh produce #314,Negative
The new tractor loan has helped speed up fieldwork #938,Positive
Rainfall was consistent and well-timed #241,Positive
The pest outbreak this season was uncontrollable #433,Negative
The online portal made seed ordering very easy #583,Positive
The fields have been plowed and are ready for sowing #907,Neutral
The market prices are too low to make a profit #955,Negative
The irrigation canal has been dry for months #335,Negative
Middlemen are taking away most of the profits #730,Negative
The mobile app for services is not working properly #673,Negative
The timely rain and improved seeds gave us a great harvest #351,Positive
There are no major updates from the cooperative #746,Neutral
There was a power cut during crucial irrigation hours #221,Negative
Our field demos were well received by other farmers #350,Positive
We are not getting enough returns to repay our loans #519,Negative
Communication among farmers has been normal #548,Neutral
We have enough resources for the next planting cycle #644,Positive
We are cautiously optimistic about the outcome #836,Neutral
The app for fertilizer tracking is working well #945,Positive
The pesticides provided were ineffective #463,Negative
The support from the agriculture department was very helpful #658,Positive
Weather has been neither too dry nor too wet so far #703,Neutral
We’re maintaining our usual schedule for sowing #894,Neutral
There are no proper roads to transport our produce #237,Negative
No major incidents have been reported this season #468,Neutral
The early sowing advice helped avoid pests #648,Positive
Storage facilities are in very poor condition #126,Negative
The weather updates were inaccurate and misleading #111,Negative
We planted the crops last week as per schedule #651,Neutral
The insurance claim was rejected unfairly #941,Negative
The mobile alerts are useful for daily farming tips #539,Positive
"Government promised help, but nothing arrived #49",Negative
There is steady demand in the local market #984,Neutral
The situation is manageable at the moment #376,Neutral
We completed the harvesting process last week #210,Neutral
There is routine inspection happening this week #339,Neutral
The rainfall has been average compared to last year #163,Neutral
We received all the fertilizers on time this season #802,Positive
Farmer meetings helped us plan better for the season #787,Positive
Meetings are being held as usual #695,Neutral
We are using the same resources as last year #41,Neutral
The mobile alerts are useful for daily farming tips #789,Positive
There is steady demand in the local market #184,Neutral
The pest situation is currently under observation #469,Neutral
We’re waiting for the market rates to stabilize #14,Neutral
The harvest festival went well with record outputs #715,Positive
Our crop yield has significantly increased this year #804,Positive
Most farmers are preparing for the next sowing season #9,Neutral
There's talk about trying a new seed variety next year #762,Neutral
I'm impressed by the new farming techniques we learned #124,Positive
There’s been a lot of delay in government support #809,Negative
We haven't faced any new challenges so far #287,Neutral
Communication among farmers has been normal #148,Neutral
The co-operative model has brought more unity in farming #619,Positive
I'm happy with how the new organic methods are working #407,Positive
The new seeds failed to germinate properly #158,Negative
We are not getting enough returns to repay our loans #69,Negative
Subsidies are not being credited as promised #134,Negative
We are observing the growth phase of our crops #906,Neutral
The early sowing advice helped avoid pests #498,Positive
Crop insurance hasn't been processed yet #62,Negative
The drip irrigation system is working really well #326,Positive
Access to expert advice has made a big difference #343,Positive
The fields have been plowed and are ready for sowing #357,Neutral
Livestock health has remained stable #267,Neutral
The online portal made seed ordering very easy #783,Positive
No major incidents have been reported this season #368,Neutral
Our field demos were well received by other farmers #300,Positive
Crop insurance hasn't been processed yet #462,Negative
The market has usual crowd this season #374,Neutral
Our crop yield has significantly increased this year #304,Positive
Unseasonal rains have caused major crop losses #238,Negative
Transport availability is normal this week #572,Neutral
We are struggling due to lack of proper irrigation #657,Negative
The harvest festival went well with record outputs #665,Positive
The insurance claim was rejected unfairly #691,Negative
I'm confident we'll have a great season ahead #221,Positive
We are losing hope due to consistent crop failure #627,Negative
We don't have access to reliable weather updates #189,Negative
Heavy rains washed away the seeds after sowing #456,Negative
Our field demos were well received by other farmers #450,Positive
Weather has been neither too dry nor too wet so far #3,Neutral
Livestock health has remained stable #617,Neutral
We’ve had a bumper harvest of rice this season #85,Positive
The canal water system is functioning well now #942,Positive
Our soil health has improved thanks to expert advice #962,Positive
The canal water system is functioning well now #842,Positive
We are losing hope due to consistent crop failure #327,Negative
There is average participation in training events #379,Neutral
We are using last year’s strategies for this crop #431,Neutral
Loan disbursement is delayed every season #374,Negative
Rainfall was consistent and well-timed #291,Positive
Our requests to the local officer went unheard #868,Negative
The market prices are too low to make a profit #555,Negative
The awareness program helped us use pesticides more effectively #605,Positive
Nothing unusual about the climate this month #33,Neutral
I'm grateful for the timely distribution of subsidies #917,Positive
Nothing unusual about the climate this month #633,Neutral
Irrigation has been functioning as expected #338,Neutral
We are continuing with our usual cropping pattern #99,Neutral
Irrigation has been functioning as expected #438,Neutral
Weather conditions have been perfect for sowing #822,Positive
We are using traditional farming methods this time #470,Neutral
The drought has severely affected our crop yield #1,Negative
There was no proper guidance from the agriculture department #704,Negative
The co-operative model has brought more unity in farming #19,Positive
Local vendors are exploiting us by offering low prices #778,Negative
There’s been a lot of delay in government support #209,Negative
The storage is being used moderately this season #561,Neutral
There are no proper roads to transport our produce #937,Negative
We are not getting enough returns to repay our loans #719,Negative
Local vendors are exploiting us by offering low prices #428,Negative
Everything appears to be under control for now #242,Neutral
The storage is being used moderately this season #311,Neutral
The new seeds failed to germinate properly #358,Negative
Local authorities visited the farm to inspect progress #58,Neutral
The training on crop rotation has boosted our yield #361,Positive
The water supply is consistent but not excessive #271,Neutral
The crops are growing at a normal pace #85,Neutral
We are facing water scarcity in our village #565,Negative
The app for fertilizer tracking is working well #345,Positive
Farmer meetings helped us plan better for the season #987,Positive
The weather updates were inaccurate and misleading #261,Negative
Transport issues led to rotting of fresh produce #714,Negative
There was a power cut during crucial irrigation hours #721,Negative
All tools and machines are working as expected #647,Neutral
We haven't faced any new challenges so far #887,Neutral
Storage facilities are in very poor condition #576,Negative
The soil testing facility helped us choose the right fertilizer #86,Positive
We’re waiting for the market rates to stabilize #64,Neutral
The co-operative model has brought more unity in farming #669,Positive
We are facing water scarcity in our village #15,Negative
Our sugarcane output is at an all-time high #129,Positive
Loan disbursement is delayed every season #874,Negative
The crop loan interest rates are too high #147,Negative
The canal water system is functioning well now #892,Positive
Transport availability is normal this week #472,Neutral
The support from the agriculture department was very helpful #308,Positive
Our livestock is healthier with the new fodder program #384,Positive
Subsidies are not being credited as promised #834,Negative
Local vendors are exploiting us by offering low prices #128,Negative
We are finally seeing the benefits of switching to organic #427,Positive
The app for fertilizer tracking is working well #495,Positive
Fertilizer prices have increased drastically #566,Negative
Everything appears to be under control for now #792,Neutral
There's talk about trying a new seed variety next year #612,Neutral
We didn’t receive the fertilizer on time #252,Negative
Our complaints on the portal go unanswered #296,Negative
The drip irrigation system is working really well #276,Positive
Our farm-to-market transport has improved greatly #490,Positive
The new seeds failed to germinate properly #958,Negative
Rainfall was consistent and well-timed #691,Positive
The seeds were distributed in the village yesterday #52,Neutral
There is routine inspection happening this week #239,Neutral
The electricity bills are too high for farming operations #243,Negative
The market has usual crowd this season #674,Neutral
The soil seems to be holding moisture well #80,Neutral
There’s been a lot of delay in government support #59,Negative
The co-operative model has brought more unity in farming #119,Positive
Our complaints on the portal go unanswered #996,Negative
We are cautiously optimistic about the outcome #286,Neutral
Timely crop insurance saved us a big loss #282,Positive
Local authorities visited the farm to inspect progress #808,Neutral
We are cautiously optimistic about the outcome #336,Neutral
The rainfall has been average compared to last year #763,Neutral
There are no major updates from the cooperative #946,Neutral
Middlemen are taking away most of the profits #180,Negative
Pests destroyed most of our harvest this year #603,Negative
Livestock health has remained stable #117,Neutral
The awareness program helped us use pesticides more effectively #305,Positive
Fodder for livestock is not available this year #845,Negative
We are struggling due to lack of proper irrigation #357,Negative
We haven't faced any new challenges so far #437,Neutral
The drip irrigation system is working really well #576,Positive
We didn't receive any training this year #872,Negative
There are no major updates from the cooperative #846,Neutral
The market has usual crowd this season #624,Neutral
Our requests to the local officer went unheard #418,Negative
Our complaints on the portal go unanswered #796,Negative
We have enough resources for the next planting cycle #844,Positive
The rainfall has been average compared to last year #813,Neutral
Our storage facility upgrade saved a lot of produce #270,Positive
The new loan program was processed efficiently #630,Positive
Subsidies are not being credited as promised #34,Negative
Farmer meetings helped us plan better for the season #287,Positive
There's talk about trying a new seed variety next year #212,Neutral
The timely rain and improved seeds gave us a great harvest #301,Positive
The weather updates were inaccurate and misleading #511,Negative
Crop insurance hasn't been processed yet #812,Negative
The solar-powered pumps are very efficient #66,Positive
Communication among farmers has been normal #398,Neutral
Rainfall was consistent and well-timed #891,Positive
Our requests to the local officer went unheard #768,Negative
There is no support during natural disasters #732,Negative
We are losing hope due to consistent crop failure #377,Negative
Government officials were responsive and helpful #231,Positive
Our crop yield has significantly increased this year #504,Positive
We completed the harvesting process last week #460,Neutral
The drought has severely affected our crop yield #351,Negative
Fodder for livestock is not available this year #445,Negative
The seeds were distributed in the village yesterday #552,Neutral
The market prices are too low to make a profit #5,Negative
Farmer meetings helped us plan better for the season #837,Positive
We don't have access to reliable weather updates #589,Negative
The farm produce was sold out quickly this week #375,Positive
Pests destroyed most of our harvest this year #353,Negative
The storage is being used moderately this season #111,Neutral
There are no proper roads to transport our produce #787,Negative
There was no proper guidance from the agriculture department #804,Negative
Transport availability is normal this week #72,Neutral
We received all the fertilizers on time this season #752,Positive
Our field demos were well received by other farmers #100,Positive
Loan disbursement is delayed every season #724,Negative
I'm grateful for the timely distribution of subsidies #867,Positive
The training on crop rotation has boosted our yield #911,Positive
We completed the harvesting process last week #10,Neutral
The new loan program was processed efficiently #530,Positive
Farmer meetings helped us plan better for the season #637,Positive
The soil testing facility helped us choose the right fertilizer #186,Positive
Unseasonal rains have caused major crop losses #188,Negative
We didn't receive any training this year #972,Negative
Timely crop insurance saved us a big loss #932,Positive
There is no support during natural disasters #382,Negative
There are no major updates from the cooperative #296,Neutral
Nothing unusual about the climate this month #383,Neutral
The seeds were distributed in the village yesterday #402,Neutral
We’re facing huge losses this season again #1000,Negative
The support from the agriculture department was very helpful #608,Positive
All tools and machines are working as expected #897,Neutral
We received all the fertilizers on time this season #152,Positive
Subsidies are not being credited as promised #284,Negative
The rainfall has been average compared to last year #263,Neutral
Timely crop insurance saved us a big loss #732,Positive
Unseasonal rains have caused major crop losses #338,Negative
"Government promised help, but nothing arrived #599",Negative
We are using the same resources as last year #841,Neutral
I'm impressed by the new farming techniques we learned #24,Positive
Local authorities visited the farm to inspect progress #858,Neutral
The weather updates helped us avoid major damage #159,Positive
Our soil health has improved thanks to expert advice #862,Positive
The new irrigation system is saving us a lot of water #903,Positive
We are observing the growth phase of our crops #656,Neutral
Irrigation has been functioning as expected #938,Neutral
The app for fertilizer tracking is working well #445,Positive
There is routine inspection happening this week #939,Neutral
The awareness program helped us use pesticides more effectively #755,Positive
I'm impressed by the new farming techniques we learned #924,Positive
The water supply is consistent but not excessive #971,Neutral
Weather has been neither too dry nor too wet so far #103,Neutral
Our soil health has improved thanks to expert advice #312,Positive
The organic fair gave us great exposure #549,Positive
Our complaints on the portal go unanswered #946,Negative
We are struggling due to lack of proper irrigation #457,Negative
I'm happy with how the new organic methods are working #307,Positive
The new tractor loan has helped speed up fieldwork #288,Positive
The app for fertilizer tracking is working well #695,Positive
The weather updates helped us avoid major damage #309,Positive
The water supply is consistent but not excessive #321,Neutral
Our field demos were well received by other farmers #750,Positive
The loan paperwork is under process #816,Neutral
No one came for the soil testing we requested #240,Negative
The weather updates helped us avoid major damage #909,Positive
We’re burdened by increasing input costs #881,Negative
We are using last year’s strategies for this crop #381,Neutral
We are struggling due to lack of proper irrigation #407,Negative
Meetings are being held as usual #495,Neutral
I'm confident we'll have a great season ahead #971,Positive
I'm satisfied with the quality of seeds provided #14,Positive
I'm impressed by the new farming techniques we learned #874,Positive
The weather updates helped us avoid major damage #809,Positive
There is average participation in training events #579,Neutral
The harvest festival went well with record outputs #515,Positive
We’re waiting for the market rates to stabilize #414,Neutral
We are seeing better profits than last season #410,Positive
There is steady demand in the local market #834,Neutral
We completed the harvesting process last week #260,Neutral
The market has usual crowd this season #824,Neutral
Storage facilities are in very poor condition #226,Negative
Heavy rains washed away the seeds after sowing #656,Negative
The weather updates were inaccurate and misleading #611,Negative
The online portal made seed ordering very easy #383,Positive
The fields have been plowed and are ready for sowing #107,Neutral
Irrigation has been functioning as expected #188,Neutral
We didn't receive any training this year #622,Negative
Farming operations are progressing steadily #832,Neutral
The new irrigation system is saving us a lot of water #553,Positive
The scheme implementation was smooth and timely #223,Positive
The crop loan interest rates are too high #97,Negative
Farmers attended a local meeting on agriculture trends #755,Neutral
The weather updates helped us avoid major damage #9,Positive
We are losing hope due to consistent crop failure #477,Negative
I'm grateful for the timely distribution of subsidies #317,Positive
All the farmers in our area are happy this year #428,Positive
We are unable to access good quality seeds #986,Negative
The local market prices are favorable this time #106,Positive
The loan paperwork is under process #16,Neutral
Access to expert advice has made a big difference #143,Positive
Weather conditions have been perfect for sowing #122,Positive
Transport availability is normal this week #372,Neutral
The loan paperwork is under process #866,Neutral
No one came for the soil testing we requested #190,Negative
There's talk about trying a new seed variety next year #962,Neutral
We planted the crops last week as per schedule #601,Neutral
The new seeds failed to germinate properly #658,Negative
The solar-powered pumps are very efficient #116,Positive
Heavy rains washed away the seeds after sowing #406,Negative
Crop insurance hasn't been processed yet #512,Negative
No significant change in government policies #493,Neutral
Communication among farmers has been normal #798,Neutral
We are continuing with our usual cropping pattern #949,Neutral
The crop loan interest rates are too high #597,Negative
The farm produce looks standard this season #890,Neutral
The scheme implementation was smooth and timely #673,Positive
There is no support during natural disasters #432,Negative
The fertilizer shop is functioning normally #173,Neutral
The canal water system is functioning well now #592,Positive
Pests destroyed most of our harvest this year #403,Negative
The mobile alerts are useful for daily farming tips #889,Positive
The market prices are too low to make a profit #755,Negative
There’s no help during pest infestations #367,Negative
All tools and machines are working as expected #397,Neutral
I'm satisfied with the quality of seeds provided #214,Positive
Local authorities visited the farm to inspect progress #8,Neutral
We are continuing with our usual cropping pattern #149,Neutral
The timely rain and improved seeds gave us a great harvest #801,Positive
We are using last year’s strategies for this crop #481,Neutral
The farm produce looks standard this season #440,Neutral
There is steady demand in the local market #284,Neutral
The rainfall has been average compared to last year #663,Neutral
There's talk about trying a new seed variety next year #712,Neutral
I'm impressed by the new farming techniques we learned #274,Positive
Weather conditions have been perfect for sowing #72,Positive
No one came for the soil testing we requested #790,Negative
Unseasonal rains have caused major crop losses #88,Negative
The app for fertilizer tracking is working well #395,Positive
Our livestock is healthier with the new fodder program #584,Positive
We are using last year’s strategies for this crop #81,Neutral
We’re burdened by increasing input costs #981,Negative
The timely rain and improved seeds gave us a great harvest #501,Positive
Farmers are planning the next crop cycle #15,Neutral
The market has usual crowd this season #224,Neutral
The soil seems to be holding moisture well #980,Neutral
We are using the same resources as last year #741,Neutral
The pest situation is currently under observation #319,Neutral
We’re unable to sell our produce at a fair price #260,Negative
The electricity bills are too high for farming operations #743,Negative
The local market prices are favorable this time #206,Positive
Our livestock is healthier with the new fodder program #734,Positive
Weather has been neither too dry nor too wet so far #503,Neutral
We are finally seeing the benefits of switching to organic #527,Positive
Storage facilities are in very poor condition #376,Negative
The organic fair gave us great exposure #899,Positive
All the farmers in our area are happy this year #378,Positive
We are losing hope due to consistent crop failure #727,Negative
Nothing unusual about the climate this month #683,Neutral
The fertilizer shop is functioning normally #723,Neutral
Farmer meetings helped us plan better for the season #387,Positive
The organic fair gave us great exposure #199,Positive
The drought has severely affected our crop yield #51,Negative
Rainfall was consistent and well-timed #591,Positive
Our storage facility upgrade saved a lot of produce #520,Positive
We planted the crops last week as per schedule #951,Neutral
The new loan program was processed efficiently #430,Positive
Subsidies are not being credited as promised #84,Negative
The support from the agriculture department was very helpful #208,Positive
The canal water system is functioning well now #492,Positive
We’re unable to sell our produce at a fair price #610,Negative
The rainfall has been average compared to last year #913,Neutral
Access to expert advice has made a big difference #793,Positive
We are using traditional farming methods this time #20,Neutral
There are no proper roads to transport our produce #187,Negative
We are unable to access good quality seeds #186,Negative
Farming operations are progressing steadily #182,Neutral
The insurance claim was rejected unfairly #341,Negative
Nothing unusual about the climate this month #233,Neutral
Our livestock is healthier with the new fodder program #84,Positive
We are using traditional farming methods this time #370,Neutral
We are monitoring crop health regularly #227,Neutral
I'm confident we'll have a great season ahead #21,Positive
Government schemes are not reaching us on time #379,Negative
There’s been a lot of delay in government support #559,Negative
We don't have access to reliable weather updates #939,Negative
Irrigation has been functioning as expected #838,Neutral
Unseasonal rains have caused major crop losses #938,Negative
I'm impressed by the new farming techniques we learned #974,Positive
The farm produce looks standard this season #790,Neutral
Our livestock is healthier with the new fodder program #884,Positive
"Government promised help, but nothing arrived #99",Negative
I'm happy with how the new organic methods are working #157,Positive
We are monitoring crop health regularly #277,Neutral
Farmer meetings helped us plan better for the season #887,Positive
We are continuing with our usual cropping pattern #999,Neutral
Local authorities are not responding to complaints #592,Negative
There is average participation in training events #479,Neutral
No major incidents have been reported this season #718,Neutral
The crops are growing at a normal pace #535,Neutral
No major incidents have been reported this season #118,Neutral
The mobile app for services is not working properly #473,Negative
We are continuing with our usual cropping pattern #649,Neutral
The weather updates helped us avoid major damage #459,Positive
We are continuing with our usual cropping pattern #499,Neutral
Our sugarcane output is at an all-time high #79,Positive
Farmers are planning the next crop cycle #915,Neutral
We are struggling due to lack of proper irrigation #57,Negative
I'm happy with how the new organic methods are working #907,Positive
Transport issues led to rotting of fresh produce #564,Negative
We are monitoring crop health regularly #427,Neutral
All tools and machines are working as expected #697,Neutral
Government officials were responsive and helpful #381,Positive
The early sowing advice helped avoid pests #948,Positive
The pesticides provided were ineffective #713,Negative
The fields have been plowed and are ready for sowing #757,Neutral
The solar-powered pumps are very efficient #716,Positive
Transport issues led to rotting of fresh produce #914,Negative
Farmer meetings helped us plan better for the season #687,Positive
The water supply is consistent but not excessive #671,Neutral
We are facing labor shortages during peak season #294,Negative
The local market prices are favorable this time #306,Positive
We are seeing better profits than last season #210,Positive
There's talk about trying a new seed variety next year #12,Neutral
Transport availability is normal this week #222,Neutral
The situation is manageable at the moment #976,Neutral
Unseasonal rains have caused major crop losses #538,Negative
The soil testing facility helped us choose the right fertilizer #886,Positive
We’re unable to sell our produce at a fair price #860,Negative
We had no pest issues this time thanks to early intervention #918,Positive
There are no proper roads to transport our produce #887,Negative
The weather updates were inaccurate and misleading #661,Negative
The canal water system is functioning well now #192,Positive
We had to sell our produce at throwaway prices #748,Negative
Farming operations are progressing steadily #132,Neutral
Fertilizer prices have increased drastically #266,Negative
Our livestock is healthier with the new fodder program #484,Positive
The solar-powered pumps are very efficient #916,Positive
There are no current issues in the supply chain #600,Neutral
All the farmers in our area are happy this year #278,Positive
The mobile alerts are useful for daily farming tips #989,Positive
Unseasonal rains have caused major crop losses #988,Negative
Fodder for livestock is not available this year #895,Negative
The soil quality has degraded over the years #870,Negative
Weather conditions have been perfect for sowing #572,Positive
We have enough resources for the next planting cycle #994,Positive
There are no major updates from the cooperative #796,Neutral
All tools and machines are working as expected #947,Neutral
The soil testing facility helped us choose the right fertilizer #586,Positive
There is average participation in training events #329,Neutral
We’re maintaining our usual schedule for sowing #994,Neutral
We’re facing huge losses this season again #350,Negative
We planted the crops last week as per schedule #901,Neutral
The farm produce was sold out quickly this week #675,Positive
We are using the same resources as last year #591,Neutral
The local market prices are favorable this time #856,Positive
The early sowing advice helped avoid pests #448,Positive
The soil quality has degraded over the years #420,Negative
The soil seems to be holding moisture well #230,Neutral
There’s no help during pest infestations #617,Negative
Most farmers are preparing for the next sowing season #259,Neutral
Transport availability is normal this week #822,Neutral
There is an ongoing discussion about crop rotation #754,Neutral
There’s no help during pest infestations #717,Negative
Transport availability is normal this week #672,Neutral
